column_name,column_type,null,key,default,extra,variable_role,historical_track,hourly_los_policy
provider_gender_measurement_available_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
historical_race_concordance_eligible_t50_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
historical_race_concordance_eligible_t70_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
historical_race_concordance_eligible_t80_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
historical_race_concordance_eligible_t90_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
historical_race_population_prior_eligible_t50_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
sex_gender_historical_eligible_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
attending_quarter_volume_all_ed,BIGINT,YES,,,,provider measurement,2005-2008 separate provider-v2,
facility_quarter_volume_all_ed,BIGINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
race_pair_category,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
black_black,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
black_white,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
white_black,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
white_white,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
racial_concordance_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
sex_gender_pair_category,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
female_female,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
female_male,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
male_female,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
male_male,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
sex_gender_concordance_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
